timestamp,people_count,crowd_level
2025-11-10 12:52:24.776368,37,High
2025-11-10 12:52:24.954895,38,High
2025-11-10 12:52:25.148275,35,High
2025-11-10 12:52:25.346271,37,High
2025-11-10 12:52:25.554514,37,High
2025-11-10 12:52:25.754271,38,High
2025-11-10 12:52:25.920191,36,High
2025-11-10 12:52:26.117819,36,High
2025-11-10 12:52:26.331561,35,High
2025-11-10 12:52:26.539974,36,High
2025-11-10 12:52:26.743859,36,High
2025-11-10 12:52:26.933478,37,High
2025-11-10 12:52:27.103652,34,High
2025-11-10 12:52:27.288216,37,High
2025-11-10 12:52:27.491728,34,High
2025-11-10 12:52:27.699762,33,High
2025-11-10 12:52:27.871922,33,High
2025-11-10 12:52:28.064790,36,High
2025-11-10 12:52:28.261296,34,High
2025-11-10 12:52:28.462035,34,High
2025-11-10 12:52:28.663197,33,High
2025-11-10 12:52:28.838739,33,High
2025-11-10 12:52:29.041737,33,High
2025-11-10 12:52:29.243216,33,High
2025-11-10 12:52:29.446276,34,High
2025-11-10 12:52:29.649719,35,High
2025-11-10 12:52:29.833132,36,High
2025-11-10 12:52:30.036442,35,High
2025-11-10 12:52:30.234049,35,High
2025-11-10 12:52:30.437194,35,High
2025-11-10 12:52:30.631577,34,High
2025-11-10 12:52:30.821374,31,High
2025-11-10 12:52:31.010678,31,High
2025-11-10 12:52:31.197640,32,High
2025-11-10 12:52:31.392228,30,High
2025-11-10 12:52:31.590371,32,High
2025-11-10 12:52:31.792230,34,High
2025-11-10 12:52:31.973339,33,High
2025-11-10 12:52:32.169893,36,High
2025-11-10 12:52:32.374584,38,High
2025-11-10 12:52:32.576559,35,High
2025-11-10 12:52:32.775781,33,High
2025-11-10 12:52:32.971822,35,High
2025-11-10 12:52:33.179719,33,High
2025-11-10 12:52:33.370997,34,High
2025-11-10 12:52:33.574303,35,High
2025-11-10 12:52:33.768381,37,High
2025-11-10 12:52:33.947449,36,High
2025-11-10 12:52:34.139482,36,High
2025-11-10 12:52:34.307841,36,High
2025-11-10 12:52:34.514897,40,High
2025-11-10 12:52:34.720305,41,High
2025-11-10 12:52:34.926186,37,High
2025-11-10 12:52:35.132347,38,High
2025-11-10 12:52:35.333322,40,High
2025-11-10 12:52:35.540210,37,High
2025-11-10 12:52:35.740290,39,High
2025-11-10 12:52:35.942056,37,High
2025-11-10 12:52:36.148010,38,High
2025-11-10 12:52:36.356867,38,High
2025-11-10 12:52:36.549815,36,High
2025-11-10 12:52:36.740773,39,High
2025-11-10 12:52:36.937304,36,High
2025-11-10 12:52:37.140188,37,High
2025-11-10 12:52:37.342100,36,High
2025-11-10 12:52:37.535269,36,High
2025-11-10 12:52:37.742113,39,High
2025-11-10 12:52:37.937716,37,High
2025-11-10 12:52:38.125412,35,High
2025-11-10 12:52:38.303280,36,High
2025-11-10 12:52:38.490863,39,High
2025-11-10 12:52:38.674210,38,High
2025-11-10 12:52:38.860388,38,High
2025-11-10 12:52:39.052978,41,High
2025-11-10 12:52:39.237171,42,High
2025-11-10 12:52:39.427224,40,High
2025-11-10 12:52:39.606824,41,High
2025-11-10 12:52:39.780240,42,High
2025-11-10 12:52:39.959627,41,High
2025-11-10 12:52:40.133395,40,High
2025-11-10 12:52:40.313450,40,High
2025-11-10 12:52:40.499763,37,High
2025-11-10 12:52:40.690658,41,High
2025-11-10 12:52:40.872094,38,High
2025-11-10 12:52:41.064038,38,High
2025-11-10 12:52:41.250357,38,High
2025-11-10 12:52:41.444078,37,High
2025-11-10 12:52:41.639525,36,High
2025-11-10 12:52:41.827901,38,High
2025-11-10 12:52:42.007656,38,High
2025-11-10 12:52:42.209722,40,High
2025-11-10 12:52:42.410963,38,High
2025-11-10 12:52:42.594816,37,High
2025-11-10 12:52:42.793548,37,High
2025-11-10 12:52:42.949554,35,High
2025-11-10 12:52:43.142327,35,High
2025-11-10 12:52:43.335232,36,High
2025-11-10 12:52:43.521022,35,High
2025-11-10 12:52:43.717392,37,High
2025-11-10 12:52:43.925936,37,High
2025-11-10 12:52:44.121145,35,High
2025-11-10 12:52:44.294441,38,High
2025-11-10 12:52:44.467483,37,High
2025-11-10 12:52:44.658637,38,High
2025-11-10 12:52:44.847241,36,High
2025-11-10 12:52:45.055385,35,High
2025-11-10 12:52:45.254321,33,High
2025-11-10 12:52:45.456463,35,High
2025-11-10 12:52:45.650259,32,High
2025-11-10 12:52:45.842148,32,High
2025-11-10 12:52:46.038660,33,High
2025-11-10 12:52:46.240514,32,High
2025-11-10 12:52:46.438765,33,High
2025-11-10 12:52:46.644880,31,High
2025-11-10 12:52:46.849646,34,High
2025-11-10 12:52:47.055190,32,High
2025-11-10 12:52:47.258457,30,High
2025-11-10 12:52:47.455459,29,High
2025-11-10 12:52:47.655150,28,High
2025-11-10 12:52:47.861557,30,High
2025-11-10 12:52:48.060736,32,High
2025-11-10 12:52:48.266266,33,High
2025-11-10 12:52:48.467782,32,High
2025-11-10 12:52:48.664631,35,High
2025-11-10 12:52:48.863910,37,High
2025-11-10 12:52:49.044982,36,High
2025-11-10 12:52:49.237062,38,High
2025-11-10 12:52:49.438711,33,High
2025-11-10 12:52:49.637573,35,High
2025-11-10 12:52:49.834556,34,High
2025-11-10 12:52:50.029288,32,High
2025-11-10 12:52:50.219478,33,High
2025-11-10 12:52:50.402922,31,High
2025-11-10 12:52:50.587635,31,High
2025-11-10 12:52:50.772274,32,High
2025-11-10 12:52:50.966804,32,High
2025-11-10 12:52:51.163912,31,High
2025-11-10 12:52:51.356798,31,High
2025-11-10 12:52:51.541766,33,High
2025-11-10 12:52:51.736772,30,High
2025-11-10 12:52:51.915378,33,High
2025-11-10 12:52:52.106289,28,High
2025-11-10 12:52:52.284022,30,High
2025-11-10 12:52:52.476686,30,High
2025-11-10 12:52:52.677785,31,High
2025-11-10 12:52:52.882024,30,High
2025-11-10 12:52:53.090671,29,High
2025-11-10 12:52:53.265556,30,High
2025-11-10 12:52:53.372200,30,High
2025-11-10 12:52:53.496480,30,High
2025-11-10 12:52:53.700925,30,High
2025-11-10 12:52:53.875532,30,High
2025-11-10 12:52:54.044025,28,High
2025-11-10 12:52:54.216603,29,High
2025-11-10 12:52:54.399163,29,High
2025-11-10 12:52:54.555901,30,High
2025-11-10 12:52:54.715823,30,High
2025-11-10 12:52:55.025897,29,High
2025-11-10 12:52:55.216599,26,High
2025-11-10 12:52:55.383089,29,High
2025-11-10 12:52:55.557186,30,High
2025-11-10 12:52:55.759965,28,High
2025-11-10 12:52:55.938420,30,High
2025-11-10 12:52:56.119418,29,High
2025-11-10 12:52:56.296979,29,High
2025-11-10 12:52:56.475226,31,High
2025-11-10 12:52:56.663471,30,High
2025-11-10 12:52:56.869276,30,High
2025-11-10 12:52:57.076061,30,High
2025-11-10 12:52:57.258873,30,High
2025-11-10 12:52:57.409528,29,High
2025-11-10 12:52:57.589547,30,High
2025-11-10 12:52:57.774651,28,High
2025-11-10 12:52:57.953815,29,High
2025-11-10 12:52:58.148341,29,High
2025-11-10 12:52:58.381336,29,High
2025-11-10 12:52:58.609956,29,High
2025-11-10 12:52:58.788275,30,High
2025-11-10 12:52:58.980421,29,High
2025-11-10 12:52:59.185214,28,High
2025-11-10 12:52:59.360707,30,High
2025-11-10 12:52:59.535647,30,High
2025-11-10 12:52:59.691590,27,High
2025-11-10 12:52:59.890898,30,High
2025-11-10 12:53:00.081754,27,High
2025-11-10 12:53:00.281236,28,High
2025-11-10 12:53:00.488589,28,High
2025-11-10 12:53:00.661834,28,High
2025-11-10 12:53:00.858938,29,High
2025-11-10 12:53:01.035593,30,High
2025-11-10 12:53:01.224639,30,High
2025-11-10 12:53:01.385459,30,High
2025-11-10 12:53:01.545784,31,High
2025-11-10 12:53:01.702577,32,High
2025-11-10 12:53:01.891327,32,High
2025-11-10 12:53:02.061978,31,High
2025-11-10 12:53:02.247104,33,High
2025-11-10 12:53:02.430919,34,High
2025-11-10 12:53:02.636709,35,High
2025-11-10 12:53:02.824396,32,High
2025-11-10 12:53:03.012037,34,High
2025-11-10 12:53:03.192061,32,High
2025-11-10 12:53:03.378064,32,High
2025-11-10 12:53:03.530339,32,High
2025-11-10 12:53:03.699249,31,High
2025-11-10 12:53:03.873200,32,High
2025-11-10 12:53:04.035116,32,High
2025-11-10 12:53:04.241808,29,High
2025-11-10 12:53:04.377904,28,High
2025-11-10 12:53:04.651682,27,High
2025-11-10 12:53:04.855207,26,High
2025-11-10 12:53:05.033435,28,High
2025-11-10 12:53:05.236387,28,High
2025-11-10 12:53:05.429292,29,High
2025-11-10 12:53:05.633151,28,High
2025-11-10 12:53:05.888639,28,High
2025-11-10 12:53:06.151934,28,High
2025-11-10 12:53:06.363415,29,High
2025-11-10 12:53:06.546151,31,High
2025-11-10 12:53:06.749832,31,High
2025-11-10 12:53:06.926913,31,High
2025-11-10 12:53:07.119650,29,High
2025-11-10 12:53:07.301536,28,High
2025-11-10 12:53:07.487414,29,High
2025-11-10 12:53:07.662191,24,High
2025-11-10 12:53:07.845413,27,High
2025-11-10 12:53:08.024067,27,High
2025-11-10 12:53:08.222554,26,High
2025-11-10 12:53:08.394975,26,High
2025-11-10 12:53:08.504694,28,High
2025-11-10 12:53:08.610333,30,High
2025-11-10 12:53:08.731926,30,High
2025-11-10 12:53:08.842096,29,High
2025-11-10 12:53:08.956444,28,High
2025-11-10 12:53:09.068016,28,High
2025-11-10 12:53:09.180048,26,High
2025-11-10 12:53:09.299301,26,High
2025-11-10 12:53:09.411157,27,High
2025-11-10 12:53:09.737708,27,High
2025-11-10 12:53:09.855822,27,High
2025-11-10 12:53:09.962092,26,High
2025-11-10 12:53:10.081205,26,High
2025-11-10 12:53:10.201988,28,High
2025-11-10 12:53:10.318188,26,High
2025-11-10 12:53:10.456719,27,High
2025-11-10 12:53:10.625673,25,High
2025-11-10 12:53:10.794716,25,High
2025-11-10 12:53:11.001962,25,High
2025-11-10 12:53:11.174471,24,High
2025-11-10 12:53:11.351142,25,High
2025-11-10 12:53:11.475650,25,High
2025-11-10 12:53:11.590313,25,High
2025-11-10 12:53:11.710121,27,High
2025-11-10 12:53:11.853506,28,High
2025-11-10 12:53:11.977024,29,High
2025-11-10 12:53:12.138074,30,High
2025-11-10 12:53:12.368108,29,High
2025-11-10 12:53:12.583847,28,High
2025-11-10 12:53:12.798518,28,High
2025-11-10 12:53:13.015736,29,High
2025-11-10 12:53:13.214576,28,High
2025-11-10 12:53:13.415260,26,High
2025-11-10 12:53:13.627644,26,High
2025-11-10 12:53:13.835090,29,High
2025-11-10 12:53:14.034360,27,High
2025-11-10 12:53:14.241226,28,High
2025-11-10 12:53:14.450925,30,High
